Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
408,REDAR1,243.450000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,Red Arrows Frequency 1,,,,
409,REDAR2,242.200000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,Red Arrows Frequency 2,,,,
501,BRSL1,77.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,Starting at 501: UK Business Simple/Light Channels,,,,
502,BRSL2,86.337500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
503,BRSL3,86.350000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
504,BRSL4,86.362500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
505,BRSL5,86.375000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
506,BRSL6,164.050000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
507,BRSL7,164.062500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
508,BRSL8,169.087500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
509,BRSL9,169.312500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
510,BRSL10,173.050000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
511,BRSL11,173.062500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
512,BRSL12,173.087500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
513,BRSL13,449.312500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
514,BRSL14,449.400000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
515,BRSL15,449.475000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
551,PMR1,446.00625,,0,,88.5,88.5,23,NN,NFM,12.5,,Starting at 551: PMR446 Analogue Channels,,,,
552,PMR2,446.01875,,0,,88.5,88.5,23,NN,NFM,12.5,,,,,,
553,PMR3,446.03125,,0,,88.5,88.5,23,NN,NFM,12.5,,,,,,
554,PMR4,446.04375,,0,,88.5,88.5,23,NN,NFM,12.5,,,,,,
555,PMR5,446.05625,,0,,88.5,88.5,23,NN,NFM,12.5,,,,,,
556,PMR6,446.06875,,0,,88.5,88.5,23,NN,NFM,12.5,,,,,,
557,PMR7,446.08125,,0,,88.5,88.5,23,NN,NFM,12.5,,,,,,
558,PMR8,446.09375,,0,,88.5,88.5,23,NN,NFM,12.5,,,,,,
601,APRS,144.800000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,S,Automatic Position Reporting System (APRS),,,,
602,AIS87B,161.975000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,Marine Automatic Identification System (AIS) Channel A,,,,
603,AIS88B,162.025000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,Marine Automatic Identification System (AIS) Channel B,,,,
604,MARDSC,156.525000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,S,Marine Digital Selective Calling (DSC),,,,
